date,plant_num,leaf_num,area
2/28/2023,8,1,55.72
2/28/2023,8,2,118
2/28/2023,8,2,118.71
2/28/2023,8,2,120.21
2/28/2023,8,3,195.84
2/28/2023,8,3,184.12
2/28/2023,8,3,197.8
2/28/2023,8,4,198.75
2/28/2023,8,4,187.53
2/28/2023,8,4,206.63
2/28/2023,8,5,102.39
2/28/2023,8,5,102.48
2/28/2023,8,5,105.86
2/28/2023,8,6,27.11
2/28/2023,8,6,21.79
2/28/2023,8,6,21.77
2/28/2023,7,1,29.53
2/28/2023,7,1,28.84
2/28/2023,7,1,29.31
2/28/2023,7,2,76.11
2/28/2023,7,2,58.36
2/28/2023,7,2,73.84
2/28/2023,7,3,152.73
2/28/2023,7,3,192.76
2/28/2023,7,3,163.8
2/28/2023,7,4,210.31
2/28/2023,7,4,203.88
2/28/2023,7,4,212.85
2/28/2023,7,5,165.94
2/28/2023,7,5,185.24
2/28/2023,7,5,177.73
2/28/2023,7,6,93.13
2/28/2023,7,6,92.33
2/28/2023,7,6,94.29
2/28/2023,7,7,11.66
2/28/2023,7,7,15.25
2/28/2023,7,7,18.15
2/28/2023,6,1,78.36
2/28/2023,6,1,74.46
2/28/2023,6,1,73.05
2/28/2023,6,2,154.07
2/28/2023,6,2,167.56
2/28/2023,6,2,150.83
2/28/2023,6,3,238
2/28/2023,6,3,258.51
2/28/2023,6,3,259.64
2/28/2023,6,4,267
2/28/2023,6,4,318
2/28/2023,6,4,298.39
2/28/2023,6,5,218.41
2/28/2023,6,5,246.08
2/28/2023,6,5,225.73
2/28/2023,6,6,146.53
2/28/2023,6,6,142.04
2/28/2023,6,6,150.55
2/28/2023,6,7,58.9
2/28/2023,6,7,53.21
2/28/2023,6,7,55.53
2/28/2023,3,1,108.82
2/28/2023,3,1,102.02
2/28/2023,3,1,99.32
2/28/2023,3,2,200
2/28/2023,3,2,196.7
2/28/2023,3,2,220.38
2/28/2023,3,3,289.53
2/28/2023,3,3,263.7
2/28/2023,3,3,277.83
2/28/2023,3,4,247.7
2/28/2023,3,4,262.9
2/28/2023,3,4,247.81
2/28/2023,3,5,152.78
2/28/2023,3,5,153.79
2/28/2023,3,5,148.86
